,Year,Age,Gender,City,Position,Years of experience,Current level,Current Salary,Main language at work,Company size,Company type
0,2018,43.0,M,München,QA Ingenieur,11.0,Senior,77000.0,Deutsch,100-1000,Product
1,2018,33.0,F,München,Senior PHP Magento developer ,8.0,Senior,65000.0,Deutsch,50-100,Product
2,2018,32.0,M,München,Software Engineer,10.0,Senior,88000.0,Deutsch,1000+,Product
3,2018,25.0,M,München,Senior Frontend Developer,6.0,Senior,78000.0,English,1000+,Product
4,2018,39.0,M,München,UX Designer,10.0,Senior,69000.0,English,100-1000,Ecom retailer
5,2018,37.0,M,München,Project Manager,8.0,Senior,98000.0,Deutsch,1000+,Insurance
6,2018,32.11503067484663,M,Berlin,Senior Android Developer,5.0,Senior,65000.0,English,1000+,Product
7,2018,36.0,F,München,Data science team lead,8.0,Senior,109000.0,English,1000+,
8,2018,32.0,M,Berlin,Test Automation Engineer,3.0,Senior,65000.0,English,100-1000,Startup
9,2018,30.0,M,München,Frontend Developer,8.0,Senior,60000.0,Deutsch,100-1000,Agency
10,2018,40.0,M,Berlin,Software Engineer,18.0,Senior,70000.0,English,100-1000,Product
11,2018,33.0,M,Karlsruhe,Senior Full-stack .Net Developer,8.0,Senior,70000.0,English,100-1000,Product
12,2018,31.0,F,Berlin,QA Lead,8.504895104895105,Senior,55000.0,English,10-50,Startup
13,2018,29.0,M,Berlin,Front-end engineer,6.0,Middle,55000.0,English,100-1000,Product
14,2018,32.0,M,München,Software Developer,11.0,Middle,94500.0,Russian,1000+,Product
15,2018,25.0,F,München,QA Test Engineer,3.0,Junior,46000.0,English,100-1000,Startup
16,2018,33.0,M,München,QA Manager,11.0,Senior,68000.0,Deutsch,1000+,Product
17,2018,24.0,M,Hamburg,Software Engineer,4.0,Middle,60000.0,English,1000+,Product
18,2018,44.0,M,Berlin,Frontend Developer,17.0,Senior,62500.0,Deutsch,10-50,Agency
19,2018,37.0,M,Berlin,CTO,19.0,Senior,80000.0,English,50-100,Startup
20,2018,29.0,M,München,Cloud Consulting,10.0,Senior,132250.0,English,1000+,Big Tech
21,2018,34.0,F,Berlin,QA,10.0,Senior,53000.0,English,100-1000,Startup
22,2018,28.0,M,München,Frontend Engineer,5.0,Middle,52000.0,English,100-1000,Product
23,2018,35.0,M,Berlin,Head of IT,10.0,Senior,95000.0,English,10-50,Consultancy
24,2018,32.0,M,München,Senior Software Engineer,4.0,Senior,72000.0,English,1000+,Agency
25,2018,40.0,F,München,Operations manager,15.0,Middle,55000.0,English,100-1000,Product
26,2018,39.0,M,München,Frontend Developer,15.0,Senior,77000.0,English,100-1000,Product
27,2018,38.0,M,München,Product Manager,12.0,Senior,72000.0,English,100-1000,Product
28,2018,28.0,M,München,Software engineer ( React/React-native ),8.0,Senior,80000.0,English,50-100,Product
29,2018,31.0,M,Berlin,iOS Developer ,5.0,Middle,66000.0,English,1000+,Product
