Year,Age,Gender,City,Position,Years of experience,Current level,Current Salary,Main language at work,Company size,Company type
2018,43.0,Male,München,QA Ingenieur,11.0,Senior,77000.0,Deutsch,100-1000,Product
2018,33.0,Female,München,Senior PHP Magento developer ,8.0,Senior,65000.0,Deutsch,50-100,Product
2018,32.0,Male,München,Software Engineer,10.0,Senior,88000.0,Deutsch,1000+,Product
2018,25.0,Male,München,Senior Frontend Developer,6.0,Senior,78000.0,English,1000+,Product
2018,39.0,Male,München,UX Designer,10.0,Senior,69000.0,English,100-1000,Ecom retailer
2018,37.0,Male,München,Project Manager,8.0,Senior,98000.0,Deutsch,1000+,Insurance
2018,32.0,Male,Berlin,Senior Android Developer,5.0,Senior,65000.0,English,1000+,Product
2018,36.0,Female,München,Data science team lead,8.0,Senior,109000.0,English,1000+,
2018,32.0,Male,Berlin,Test Automation Engineer,3.0,Senior,65000.0,English,100-1000,Startup
2018,30.0,Male,München,Frontend Developer,8.0,Senior,60000.0,Deutsch,100-1000,Agency
2018,40.0,Male,Berlin,Software Engineer,18.0,Senior,70000.0,English,100-1000,Product
2018,33.0,Male,Karlsruhe,Senior Full-stack .Net Developer,8.0,Senior,70000.0,English,100-1000,Product
2018,31.0,Female,Berlin,QA Lead,8.0,Senior,55000.0,English,10-50,Startup
2018,29.0,Male,Berlin,Front-end engineer,6.0,Middle,55000.0,English,100-1000,Product
2018,32.0,Male,München,Software Developer,11.0,Middle,94500.0,Russian,1000+,Product
2018,25.0,Female,München,QA Test Engineer,3.0,Junior,46000.0,English,100-1000,Startup
2018,33.0,Male,München,QA Manager,11.0,Senior,68000.0,Deutsch,1000+,Product
2018,24.0,Male,Hamburg,Software Engineer,4.0,Middle,60000.0,English,1000+,Product
2018,44.0,Male,Berlin,Frontend Developer,17.0,Senior,62500.0,Deutsch,10-50,Agency
2018,37.0,Male,Berlin,CTO,19.0,Senior,80000.0,English,50-100,Startup
2018,29.0,Male,München,Cloud Consulting,10.0,Senior,132250.0,English,1000+,Big Tech
2018,34.0,Female,Berlin,QA,10.0,Senior,53000.0,English,100-1000,Startup
2018,28.0,Male,München,Frontend Engineer,5.0,Middle,52000.0,English,100-1000,Product
2018,35.0,Male,Berlin,Head of IT,10.0,Senior,95000.0,English,10-50,Consultancy
2018,32.0,Male,München,Senior Software Engineer,4.0,Senior,72000.0,English,1000+,Agency
2018,40.0,Female,München,Operations manager,15.0,Middle,55000.0,English,100-1000,Product
2018,39.0,Male,München,Frontend Developer,15.0,Senior,77000.0,English,100-1000,Product
2018,38.0,Male,München,Product Manager,12.0,Senior,72000.0,English,100-1000,Product
2018,28.0,Male,München,Software engineer ( React/React-native ),8.0,Senior,80000.0,English,50-100,Product
2018,31.0,Male,Berlin,iOS Developer ,5.0,Middle,66000.0,English,1000+,Product
2018,39.0,Male,Berlin,Senior DevOps,10.0,Middle,75800.0,Deutsch,1000+,Corporation
2018,35.0,Female,München,Software Engineer,12.0,Senior,84000.0,English,100-1000,Startup
2018,32.0,Male,München,C# Developer,10.0,Senior,60000.0,English,50-100,Product
2018,27.0,Male,Augsburg ,ERP/BI Specialist,4.0,Middle,57000.0,Deutsch,100-1000,Product
2018,32.0,Male,München,Full stack developer,2.0,Junior,58000.0,English,100-1000,Product
2018,31.0,Male,München,Systems Administrator,1.0,Junior,36000.0,English,50-100,Startup
2018,31.0,Male,München,Senior Software Developer,10.0,Senior,70000.0,English,100-1000,Product
2018,32.0,Male,München,C++ developer,10.0,Senior,72000.0,English,100-1000,Product
2018,35.0,Male,München,Project Manager,5.0,Middle,75000.0,English,100-1000,Product
2018,33.0,Male,München,PM,9.0,Middle,90000.0,Deutsch,1000+,Product
2018,32.0,Male,München,Android Developer,7.0,Senior,69000.0,English,100-1000,Product
2018,41.0,Male,München,Software Architect,20.0,Senior,113000.0,Deutsch,100-1000,Startup
2018,32.0,Male,München,Senior Frontend Developer,10.0,Senior,65000.0,English,100-1000,Product
2018,30.0,Male,München,Embedded Software Engineer,7.0,Middle,75000.0,English,50-100,Product
2018,24.0,Female,München,iOS developer,3.0,Middle,57000.0,Russian,100-1000,Product
2018,43.0,Male,Berlin,Data Engineer,10.0,Senior,84000.0,English,50-100,Product
2018,28.0,Male,München,iOS Developer,6.0,Senior,70000.0,English,1000+,Product
2018,29.0,Male,Bremen,Software Engineer,1.0,Junior,55000.0,Deutsch,10-50,Product
2018,32.0,Male,München,PHP Developer,6.0,Senior,60000.0,English,100-1000,Product
2018,31.0,Male,Frankfurt,Ruby developer,11.0,Senior,65000.0,English,100-1000,Product
2018,33.0,Male,Berlin,Frontend Developer,10.0,Senior,70000.0,English,10-50,Startup
2018,29.0,Male,,Embedded engineer,7.0,Middle,50000.0,English,up to 10,Product
2018,28.0,Male,München,Java Fullstack Developer,7.5,Middle,65000.0,Deutsch,50-100,Agency
2018,32.0,Male,München,Senior Software Developer,10.0,Senior,78000.0,English,10-50,Startup
2018,26.0,Female,Regensburg,Mobile App Developer,1.0,Junior,60000.0,Deutsch,1000+,Product
2018,34.0,Male,Hamburg,Scala Developer,10.0,Senior,71000.0,English,50-100,Startup
2018,29.0,Male,München,DevOps,9.0,Senior,75000.0,Deutsch,100-1000,Product
2018,27.0,Female,Frankfurt,Consultant,1.0,Junior,49000.0,English,1000+,Consultancy
2018,28.0,Male,Hamburg,Ruby developer,4.0,Senior,65000.0,English,100-1000,Product
2018,34.0,Male,München,BA/PM,10.0,Senior,68000.0,English,10-50,Product
2018,35.0,Male,München,DevOps Engineer,10.0,Senior,56000.0,English,50-100,Product
2018,32.0,Female,Berlin,QA,3.0,Junior,30000.0,English,50-100,Product
2018,32.0,Male,München,C++ Software Enginеer,11.0,Senior,72000.0,English,up to 10,Product
2018,32.0,Female,Frankfurt,Software Developer,4.0,Middle,65000.0,English,100-1000,Product
2018,29.0,Male,Frankfurt,iOS developer,5.0,Middle,45000.0,English,up to 10,Agency
2018,36.0,Female,München,Automation QA,4.0,Middle,55000.0,English,1000+,Product
2018,29.0,Male,Lisbon,iOS developer,6.0,Middle,40000.0,English,1000+,Product
2018,25.0,Male,Frankfurt,Frontend Developer,5.0,Middle,66000.0,English,100-1000,Agency
2018,32.0,Male,Frankfurt,Software Engineer,7.0,Senior,66000.0,English,100-1000,Product
2018,32.0,Female,Hamburg,Java Developer,5.0,Middle,54000.0,English,100-1000,Product
2018,25.0,Male,München,Backend Developer,3.0,Senior,60000.0,Russian,10-50,Startup
2018,32.0,Male,Berlin,Frontend developer,6.0,Middle,50000.0,English,10-50,Product
2018,29.0,Male,Berlin,SDET,7.0,Senior,60000.0,English,1000+,Product
2018,32.0,Male,Leipzig,iOS Developer,3.0,Senior,48000.0,English,100-1000,Agency
2018,26.0,Male,München,Android Developer,4.0,Middle,66000.0,English,1000+,Agency
2018,33.0,Male,Frankfurt,Technical Lead,10.0,Senior,95000.0,Deutsch,1000+,Product
2018,28.0,Male,München,FrontEnd dev,8.0,Middle,61000.0,English,100-1000,Product
2018,31.0,Male,Berlin,Technical product manager,1.0,Middle,65000.0,English,100-1000,Startup
2018,29.0,Male,Berlin,Javascript software developer,5.0,Middle,55000.0,English,10-50,Startup
2018,29.0,Male,München,Java Developer,8.0,Senior,72000.0,Russian,100-1000,Product
2018,31.0,Male,Berlin,DevOps,12.0,Senior,60000.0,English,50-100,Startup
2018,32.0,Male,München,Java Developer,5.0,Middle,60000.0,English,100-1000,Product
2018,27.0,Male,Berlin,DevOps Engineer,10.0,Senior,87000.0,English,100-1000,Product
2018,30.0,Male,Berlin,iOS Developer,6.0,Senior,70000.0,English,100-1000,Product
2018,32.0,Female,München,Graphic Designer,8.0,Middle,30000.0,English,up to 10,Startup
2018,34.0,Female,Berlin,Manager,5.0,Middle,55000.0,English,100-1000,Startup
2018,44.0,Male,München,Project Manager,14.0,Senior,73000.0,Russian,50-100,
2018,37.0,Male,Berlin,Senior/Lead Developer,15.0,Senior,85000.0,English,up to 10,Startup
2018,32.0,Male,Stuttgart,Senior QA,4.0,Senior,65000.0,English,1000+,Agency
2018,32.0,Male,Stuttgart,Senior QA,4.0,Senior,65000.0,English,1000+,Agency
2018,33.0,Male,Berlin,Technical Product Manager,8.0,Senior,58000.0,English,100-1000,Startup
2018,36.0,Male,Berlin,Mobile Lead,14.0,Senior,82000.0,English,100-1000,Product
2018,34.0,Male,Berlin,Software Engineer,10.0,Senior,67000.0,English,100-1000,Product
2018,31.0,Male,Berlin,Frontend developer,12.0,Senior,65000.0,English,100-1000,Product
2018,25.0,Male,München,Software Developer,3.0,Middle,62000.0,English,100-1000,Outsource
2018,28.0,Male,Berlin,Frontend Engineer,6.0,Senior,62000.0,English,50-100,Startup
2018,38.0,Male,Berlin,Front-end developer,19.0,Senior,83000.0,English,100-1000,Product
2018,32.0,Female,Berlin,Data Engineer,10.0,Senior,75000.0,English,1000+,Product
2018,22.0,Male,Berlin,Data scientist,2.0,Middle,50000.0,English,50-100,Startup
2018,37.0,Male,München,Head of Product ,8.0,Senior,100000.0,English,50-100,Agency
2018,32.0,Male,Berlin,Research Engineer,10.0,Middle,75000.0,English,1000+,Product
2018,40.0,Male,Berlin,PHP Backend Developer,18.0,Senior,69000.0,English,50-100,Agency
2018,24.0,Male,Berlin,Java Developer,3.0,Middle,50000.0,English,100-1000,Product
2018,36.0,Male,Berlin,SW Developer,10.0,Middle,73000.0,English,50-100,Startup
2018,35.0,Male,Berlin,Senior Engineer (PHP),15.0,Senior,120000.0,English,1000+,Product
2018,28.0,Male,Frankfurt,webdev,5.0,Senior,50000.0,English,10-50,Product
2018,32.0,Male,München,Web Developer ,3.0,Middle,58000.0,Deutsch,1000+,
2018,33.0,Male,,Java Developer,11.0,Senior,65000.0,Deutsch,50-100,Product
2018,36.0,Female,München,QA ,3.0,Middle,30000.0,English,10-50,Product
2018,32.0,Male,Berlin,Machine Learning Engineer,8.0,Senior,80000.0,English,up to 10,Startup
2018,32.0,Male,Berlin,Frontend Developer,10.0,Senior,70000.0,English,50-100,Startup
2018,32.0,Male,München,Data Scientist,4.0,Senior,65000.0,English,50-100,Product
2018,31.0,Male,Berlin,Software Architect,12.0,Senior,78600.0,English,100-1000,Product
2018,34.0,Male,Berlin,Principal Software Engineer,13.0,Senior,70000.0,English,10-50,Product
2018,32.0,Male,Amsterdam,FrontEnd Developer,5.0,Senior,60000.0,English,1000+,Product
2018,32.0,Male,Berlin,Senior Javascript Engineer,6.0,Senior,78000.0,English,100-1000,Startup
2018,34.0,Male,Berlin,Engineering Manager,17.0,Senior,70000.0,English,50-100,Startup
2018,32.0,Male,Luxembourg,SDE,8.0,Middle,89000.0,English,1000+,Product
2018,27.0,Female,München,Python dev,0.5,Junior,60000.0,English,50-100,Product
2018,31.0,Female,München,QA Engineer ,5.0,Middle,60000.0,English,50-100,Product
2018,32.0,Male,Berlin,Android developer ,9.0,Senior,72000.0,English,1000+,Product
2018,32.0,Male,München,Web Designer,3.0,Middle,43000.0,Deutsch,50-100,Product
2018,27.0,Male,Berlin,Senior Software Engineer ,7.0,Senior,72000.0,English,1000+,Product
2018,30.0,Male,Berlin,Senior Backend Developer,7.0,Senior,65000.0,English,1000+,Startup
2018,34.0,Male,Berlin,Agile coach,5.0,Senior,85000.0,English,1000+,Agency
2018,30.0,Male,Berlin,QA,8.0,Senior,55000.0,English,50-100,Product
2018,24.0,Male,Berlin,MTS,4.0,Middle,65000.0,English,100-1000,Startup
2018,28.0,Female,Berlin,Frontend Developer,4.0,Middle,56000.0,English,1000+,Product
2018,39.0,Male,Bern, .Net Developer,10.0,Senior,107000.0,Deutsch,100-1000,Product
2018,29.0,Male,Berlin,Python developer,3.0,Middle,60000.0,English,100-1000,Product
2018,34.0,Male,München,Android Developer,7.0,Senior,70000.0,English,100-1000,Startup
2018,30.0,Male,Berlin,Embedded Developer,6.0,Middle,60000.0,English,100-1000,Product
2018,35.0,Male,Berlin,.NET developer,15.0,Senior,62000.0,English,100-1000,Product
2018,37.0,Male,Berlin,Seniour software developer,14.0,Senior,78000.0,English,10-50,Startup
2018,25.0,Male,Frankfurt,Junior IT Manager,8.0,Junior,60000.0,English,1000+,Industry
2018,37.0,Male,Berlin,Full stack developer ,15.0,Senior,54000.0,English,10-50,Product
2018,27.0,Female,Berlin,IT Project Manager,4.0,Middle,46000.0,Deutsch,100-1000,E-Commerce firm
2018,30.0,Male,Bonn,Business Analyst,7.0,Middle,64000.0,English,1000+,Product
2018,33.0,Male,Berlin,fullstack developer,10.0,Senior,65000.0,English,10-50,Product
2018,32.0,Male,Berlin,Frontent Developer,5.0,Middle,58000.0,English,10-50,Startup
2018,32.0,Male,München,Senior Java Developer,13.0,Senior,75000.0,English,1000+,Product
2018,30.0,Male,Frankfurt,Software Developer,8.0,Senior,95000.0,English,100-1000,Product
2018,27.0,Female,Berlin,Android Developer,5.0,Middle,60000.0,English,100-1000,Product
2018,28.0,Male,München,Software Developer,6.0,Middle,53000.0,English,100-1000,Product
2018,30.0,Male,Berlin,Software Engineer,3.0,Middle,69000.0,English,1000+,Product
2018,39.0,Male,Berlin,Scala developer,20.0,Senior,84000.0,English,1000+,Product
2018,26.0,Male,Berlin,UX/UI designer,5.0,Senior,52000.0,English,10-50,Startup
2018,32.0,Male,München,Senior Java,12.0,Senior,85000.0,English,10-50,Product
2018,30.0,Male,Berlin,SRE,7.0,Senior,75000.0,English,50-100,
2018,32.0,Male,München,developer,6.0,Senior,63000.0,English,100-1000,Product
2018,39.0,Male,Berlin,DBA,17.0,Senior,87000.0,English,1000+,Product
2018,35.0,Female,Berlin,Software Engineer,14.0,Senior,65000.0,English,10-50,Startup
2018,30.0,Female,Berlin,Computational Linguist,3.0,Middle,50400.0,English,10-50,Startup
2018,26.0,Male,Berlin,Software Engineer,6.0,Senior,65000.0,English,100-1000,Product
2018,32.0,Male,Hamburg,SAP Basis Administrator,19.0,Senior,85000.0,Deutsch,1000+,Product
2018,27.0,Male,Berlin,Data Scientist,2.5,Senior,66000.0,English,100-1000,Startup
2018,43.0,Female,München,Programmierer/Consultant,0.5,Junior,32000.0,Deutsch,10-50,Product
2018,42.0,Male,München,Java Developer,15.0,Middle,42000.0,Deutsch,10-50,Product
2018,31.0,Male,Berlin,Full stack engineer,11.0,Senior,65000.0,English,100-1000,Product
2018,34.0,Male,Berlin,Software engineer,8.0,Middle,74000.0,English,1000+,Startup
2018,32.0,Male,Berlin,Java Developer,10.0,Senior,75000.0,English,100-1000,Startup
2018,30.0,Male,München,Software Engineer,8.0,Senior,72500.0,English,100-1000,Product
2018,37.0,Male,Berlin,Database Administrator,7.0,Senior,53000.0,Deutsch,100-1000,Product
2018,32.0,Male,Frankfurt,Senior Software Engineer,13.0,Senior,102000.0,English,100-1000,Product
2018,27.0,Male,Hamburg,Frontend Developer,11.0,Senior,60000.0,English,100-1000,Product
2018,30.0,Male,Berlin,Software Engineer JavaSctipt,10.0,Senior,75000.0,English,1000+,Product
2018,33.0,Male,Berlin,PM,15.0,Senior,85000.0,English,1000+,
2018,38.0,Male,Köln,Java Developer,12.0,Senior,60000.0,Deutsch,10-50,Consulting
2018,35.0,Male,Berlin,Developer,9.0,Senior,60000.0,English,up to 10,Startup
2018,36.0,Male,Berlin,Head of Engineering,15.0,Senior,85000.0,Deutsch,10-50,Product
2018,25.0,Male,Berlin,Android Developer,5.0,Middle,50000.0,English,10-50,Startup
2018,35.0,Male,Köln,Angular,5.0,Middle,35000.0,English,1000+,Product
2018,29.0,Male,München,Senior Android Developer,8.0,Senior,75000.0,English,50-100,Agency
2018,30.0,Female,Berlin,Full Stack Developer,4.0,Middle,58000.0,English,10-50,Product
2018,33.0,Male,Berlin,Software Developer,12.0,Senior,75000.0,English,1000+,Internal development for a non-IT company
2018,30.0,Male,Baden-Württemberg ,Mobile developer,8.0,Senior,70000.0,English,10-50,Startup
2018,30.0,Male,Berlin,PHP Developer,11.0,Senior,65000.0,English,50-100,Startup
2018,31.0,Female,Berlin,Software Engineer,8.0,Senior,55800.0,Deutsch,1000+,Product
2018,26.0,Male,Berlin,Automation QA,4.0,Middle,55000.0,English,1000+,Product
2018,27.0,Male,Berlin,Frontend Developer,5.0,Middle,55000.0,English,1000+,Product
2018,34.0,Male,Berlin,Android Developer,7.0,Senior,70000.0,Deutsch,100-1000,Product
2018,35.0,Male,Berlin,PHP Developer,12.0,Senior,63000.0,English,100-1000,Product
2018,29.0,Male,Berlin,Data scientist,8.0,Senior,115000.0,English,1000+,Product
2018,28.0,Male,München,Software Engineer (Android),2.0,Middle,52000.0,Deutsch,100-1000,Agency
2018,39.0,Male,Frankfurt,SAP Consultant,13.0,Senior,176000.0,English,1000+,Product
2018,35.0,Male,München,C++ developer,14.0,Senior,70000.0,English,up to 10,Startup
2018,31.0,Female,Frankonia,QA Engineer,7.0,Senior,44000.0,English,100-1000,Product
2018,26.0,Male,Berlin,Computer Vision Engineer,2.5,Middle,50000.0,English,up to 10,Startup
2018,26.0,Male,München,Java Developer,4.0,Middle,58000.0,English,100-1000,Agency
2018,32.0,Male,Berlin,DevOps,9.0,Middle,60000.0,English,10-50,Startup
2018,42.0,Male,Stuttgart ,Digital Project Manager,3.0,Senior,60000.0,Deutsch,1000+,Personaldienstleister
2018,27.0,Male,Berlin,Backend developer,3.0,Senior,64000.0,English,100-1000,Startup
2018,38.0,Male,Berlin,PM,5.0,Senior,80000.0,English,10-50,Product
2018,24.0,Male,München,Machine Learning Engineet,2.0,Middle,58000.0,English,10-50,Startup
2018,32.0,Male,Berlin,Machine Learning Engineer,8.0,Senior,95000.0,English,50-100,Product
2018,28.0,Female,Berlin,Frontend developer,6.0,Middle,50000.0,English,100-1000,Startup
2018,31.0,Male,München,Lead Software Engineer,13.0,Senior,90000.0,English,100-1000,Product
2018,31.0,Male,Stuttgart,Head of Development,12.0,Senior,75000.0,English,100-1000,Product
2018,31.0,Male,Mannheim ,.net,4.0,Senior,46000.0,Deutsch,50-100,Startup
2018,30.0,Male,Köln,Data scientist,5.0,Middle,80000.0,English,1000+,Product
2018,36.0,Male,München,Data Scientist,5.0,Senior,92000.0,English,50-100,Agency
2018,24.0,Male,München,IT Consultant,4.0,Middle,60000.0,English,100-1000,Agency
2018,33.0,Male,Karlsruhe,Embedded SW Developer,13.0,Senior,90000.0,Deutsch,up to 10,
2018,34.0,Female,München,C++ Developer ,6.0,Middle,63000.0,Deutsch,10-50,Product
2018,29.0,Male,München,System Engineer,8.0,Senior,75000.0,English,50-100,Product
2018,32.0,Female,Berlin,Marketing Manager,8.0,Senior,55000.0,English,100-1000,Startup
2018,22.0,Male,München,Software developer,1.5,Junior,70000.0,English,1000+,Product
2018,42.0,Male,Stuttgart,Erlang Developer,20.0,Senior,74000.0,English,50-100,Startup
2018,29.0,Male,Berlin,backend developer,5.0,Middle,65000.0,English,50-100,Product
2018,29.0,Male,Stuttgart,Computer Vision Engineer,6.0,Senior,125000.0,English,1000+,Product
2018,35.0,Male,Berlin,Senior Software Engineer,10.0,Senior,68000.0,English,100-1000,Product
2018,36.0,Male,Berlin,Engineer,13.0,Senior,80000.0,English,100-1000,Startup
2018,29.0,Male,München,IT admin,7.0,Senior,40000.0,Deutsch,50-100,Product
2018,28.0,Male,Stuttgart ,C++ Developer ,5.0,Middle,60000.0,English,100-1000,Agency
2018,32.0,Male,Berlin,Senior Ruby Developer,13.0,Senior,65000.0,English,10-50,Startup
2018,38.0,Male,Berlin,Senior Backend Engineer,15.0,Senior,92000.0,English,1000+,Product
2018,31.0,Male,Berlin,Senior software engineer,8.0,Senior,75000.0,English,100-1000,Startup
2018,32.0,Female,Berlin,QA,5.0,Senior,70000.0,English,1000+,ipo
2018,38.0,Female,München,Java Developer,16.0,Middle,58000.0,Deutsch,100-1000,Product
2018,30.0,Male,Berlin,Senior Data Scientist,6.0,Senior,76000.0,English,1000+,e-commerce
2018,32.0,Male,Berlin,Senior Software Engineer,9.0,Senior,75000.0,English,100-1000,Product
2018,27.0,Male,München,Fullstack JS,6.0,Senior,65000.0,English,10-50,Startup
2018,27.0,Male,München,Senior Software Engineer,6.0,Senior,75000.0,English,1000+,Product
2018,36.0,Male,Berlin,Java developer,12.0,Senior,80000.0,English,1000+,Product
2018,32.0,Male,München,DevOps Engineer,9.0,Senior,80000.0,English,1000+,Outsource
2018,32.0,Male,München,PHP Dev,11.0,Senior,80000.0,Deutsch,1000+,Product
2018,32.0,Male,Berlin,Big Data Engineer,5.0,Senior,87000.0,English,10-50,Startup
2018,32.0,Male,München,Senior Software Engineer,9.0,Senior,80000.0,English,50-100,Product
2018,26.0,Male,München,Java Developer,3.0,Middle,58000.0,Russian,50-100,Product
2018,39.0,Male,München,Software Engineer,15.0,Senior,68000.0,English,100-1000,Startup
2018,25.0,Male,Berlin,C++ Developer,3.0,Middle,48500.0,English,10-50,Product
2018,31.0,Male,Berlin,Java Developer ,0.0,Junior,49000.0,English,1000+,Product
2018,52.0,Male,,Sysadmin,7.0,Middle,34000.0,Deutsch,up to 10,
2018,26.0,Male,München,Low level software developer,5.0,Middle,68000.0,English,100-1000,Product
2018,28.0,Male,Berlin,Full-stack Developer,7.0,Senior,75000.0,English,50-100,Startup
2018,31.0,Male,Berlin,Lead Software Engineer,10.0,Senior,95000.0,English,1000+,Startup
2018,26.0,Male,München,Software Engineer,7.0,Middle,70500.0,English,1000+,Product
2018,32.0,Male,Berlin,Site Reliability engineer ,12.0,Senior,65000.0,English,100-1000,Product
2018,50.0,Female,Bayern,Project manager,20.0,Senior,96000.0,Deutsch,100-1000,Product
2018,22.0,Male,Berlin,Software Engineer ,5.0,Middle,65000.0,English,1000+,Product
2018,34.0,Male,München,Architect,11.0,Senior,83000.0,Russian,100-1000,Product
2018,32.0,Female,München,Sales ops team lead ,4.0,Middle,78000.0,English,100-1000,Product
2018,33.0,Female,Berlin,Manual QA,4.0,Middle,45000.0,English,up to 10,Startup
2018,32.0,Male,Berlin,Software developer,8.0,Middle,65000.0,English,100-1000,Product
2018,38.0,Male,Berlin,Head of BI,5.0,Senior,85000.0,English,1000+,Product
2018,32.0,Male,Stuttgart,iOS Developer,3.0,Middle,65000.0,English,50-100,Product
2018,37.0,Male,Tübingen,Software Engineer,15.0,Senior,65000.0,English,50-100,Product
2018,34.0,Male,Berlin,Java Developer,10.0,Senior,86000.0,English,100-1000,Product
2018,28.0,Male,Berlin,DevOps,3.0,Middle,68000.0,English,10-50,Product
2018,31.0,Male,Berlin,Senior PHP Developer,11.0,Senior,61000.0,English,100-1000,Product
2018,25.0,Male,Berlin,Fullstack,5.0,Senior,60000.0,English,10-50,Product
2018,25.0,Male,Berlin,Java developer,4.0,Middle,48000.0,English,10-50,Agency
2018,29.0,Male,Berlin,Team Lead,10.0,Senior,75000.0,English,100-1000,Startup
2018,28.0,Male,München,Product Manager,5.0,Middle,65000.0,Russian,1000+,Product
2018,49.0,Male,Frankfurt,PD,20.0,Senior,120000.0,English,1000+,
2018,38.0,Male,Stuttgart,IT Berater,18.0,Senior,84000.0,Russian,up to 10,Agency
2018,26.0,Male,München,Java & JS Developer,4.0,Middle,54000.0,English,50-100,Product
2018,25.0,Female,Berlin,Java developer ,1.0,Junior,40000.0,Deutsch,10-50,Product
2018,43.0,Male,München,Frontend developer ,10.0,Senior,61000.0,English,100-1000,Product
2018,35.0,Male,München,DevOps engineer ,15.0,Senior,85000.0,Deutsch,100-1000,Product
2018,27.0,Male,München,iOS Developer,6.0,Senior,68000.0,English,100-1000,Startup
2018,33.0,Male,München,Senior Java Developer,12.0,Senior,75000.0,English,10-50,Startup
2018,32.0,Male,Berlin,Senior Software engineer C++,10.0,Senior,96000.0,English,up to 10,Product
2018,40.0,Male,Köln,network engineer ,15.0,Senior,70000.0,English,100-1000,Product
2018,32.0,Male,Berlin,C# Developer ,5.0,Senior,55000.0,English,10-50,Product
2018,32.0,Male,Berlin,Senior Sys Admin,10.0,Senior,50000.0,English,50-100,Product
2018,32.0,Female,Berlin,C++ Developer ,10.0,Senior,57000.0,English,100-1000,Product
2018,32.0,Male,Berlin,Senior PHP developer,8.0,Senior,60000.0,English,1000+,Product
2018,31.0,Female,Berlin,QA,10.0,Senior,44000.0,English,100-1000,Startup
2018,36.0,Male,München,Product Manager,10.0,Senior,95000.0,Deutsch,1000+,Product
2018,32.0,Female,Frankfurt,QA Consultant ,5.0,Middle,55000.0,Deutsch,10-50,Startup
2018,32.0,Male,München,Senior PHP Developer,18.0,Senior,67000.0,English,100-1000,Product
2018,31.0,Female,Berlin,TA Engineer,8.0,Middle,46000.0,English,100-1000,Product
2018,30.0,Male,Berlin,CTO,9.0,Senior,90000.0,English,up to 10,Agency
2018,33.0,Male,München,Senior software engineer ,11.0,Senior,92000.0,English,50-100,
2018,33.0,Male,Berlin,Java script,16.0,Senior,95000.0,English,10-50,Product
2018,38.0,Male,München,Frontend,5.0,Senior,70000.0,English,10-50,Startup
2018,30.0,Male,,Software Architect,11.0,Senior,115000.0,English,1000+,
2018,28.0,Male,Berlin,Lead DevOps,7.0,Senior,70000.0,English,100-1000,Startup
2018,37.0,Male,Brno,DevOps,17.0,Middle,35000.0,English,100-1000,Product
2018,26.0,Male,Berlin,QA Lead,7.0,Senior,60000.0,English,100-1000,Product
2018,31.0,Male,München,Hardware Engineer ,9.0,Senior,90000.0,English,1000+,Product
2018,31.0,Male,München,Hardware Engineer ,9.0,Senior,90000.0,English,1000+,Product
2018,37.0,Male,Berlin,Senior Backend Developer,17.0,Senior,80000.0,English,50-100,Startup
2018,32.0,Male,München,Data Scientist,5.0,Middle,90000.0,English,1000+,Product
2018,33.0,Male,München,System Administrator,13.0,Senior,72000.0,Russian,10-50,Startup
2018,38.0,Male,Berlin,Fullstack,5.0,Senior,55000.0,Deutsch,100-1000,Agency
2018,30.0,Male,Berlin,Python Developer,2.5,Middle,52000.0,English,50-100,Product and Projects
2018,37.0,Male,Dresden,Developer,10.0,Senior,53000.0,Deutsch,100-1000,Product
2018,30.0,Male,Berlin,Javascript Developer in Test,8.0,Senior,72000.0,English,1000+,Product
2018,31.0,Male,,Software Architect,12.0,Senior,80000.0,English,1000+,
